,,,,
,,,,
,,,,
,,,,
,,,,
Section : Fournitures de bureau 23/24,,,,
,,,,
,,,,
Fil à coudre de laine  en couleur (Noir /blanc M ),0,0,0,0
Fils à porte badge gris,0,0,0,0
Fil à porte badge jaune,0,0,0,0
 Fil à coudre  Sabra en couleur (Magic F),4,0,0,4
 Fil à coudre  Sabra en couleur (Polystaire Saif),2,0,0,2
Ciseau16 manche en plastique bleu /rouge( Moyen ) Papesco,10,0,0,10
Ciseau manche en plastique bleu /noir(GM ) Papesco,2,0,0,2
Tournevis noir PM pour machine28/02/2024,10,0,0,10
Rideaux belge,7,0,0,7
Centimètre en plastiqueMeasuring tape ,17,0,0,17
chariot machine a coudre,0,0,0,0
Huile pour machine L,0,0,0,0
Axes de pidale,0,0,0,0
Vise plaquette,0,0,0,0
Dents de la machine à coudre,0,0,0,0
plaque coté de la machine à coudre,0,0,0,0
plaque de la machine à coudre simple,0,0,0,0
pieds  pour machine à coudre,0,0,0,0
Clé mixte,3,0,0,3
Papier patron,1,0,0,1
Perroquets de traçage,5,0,0,5
Kit de traçage complet  ,,Err:509,,Err:509
serviettes belge simple,26,0,0,26
serviettes  belge avec motifs,6,0,0,6
serviettes blanche,12,0,0,12
serviettes rouge,1,0,0,1
serviettes gris,14,0,0,14
serviettes bleu ciel,12,0,0,12
Coiffure,,,,
Désignation ,Report,Entrée,Sortie,Stock
Serviette,0,0,0,0
Tondeuse moser,3,0,0,3
Tondeuse HTC,1,0,0,1
Vapeurs,3,0,3,0
Scouba pour coiffure homme,4,0,0,4
Ciseaux,4,0,0,4
Boitte de rasoir iridium,0,0,0,0
Porte rasoir,1,0,1,0
Brosse ronde,6,0,5,1
Séchoire,1,0,0,1
Sabot de tondeuse,15,0,15,0
Gelle GM,0,0,0,0
Gelle PM,0,0,0,0
Masque,0,0,0,0
Peigne,14,0,14,0
Vasline,0,0,0,0
Brosse rouleau,0,0,0,0
Brosse de barbe,0,0,0,0
Oxydons en L,0,0,0,0
Boîte de boucles de mèches,0,0,0,0
Pinceaux,0,0,0,0
Paquet de Pinces du coiffure,1,0,0,1
Paquets des Rouleau en plastique,4,0,0,4
Sachet des bonnets,1,0,0,1
Bol de coloration PM ,1,0,0,1
Bonde de cire,0,0,0,0
Cartouche  de la cire,0,0,0,0
Plaque Electrique,0,0,0,0
Casques coiffure,0,0,0,0
